baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RNF138P1,10.872330161604,-1.69946269855613,0.388732275342532,-4.37180755587799,1.23222115968087e-05,0.0226002004800662
RNF157,27.9693815637483,-0.603043100881137,0.256156861320339,-2.35419460471526,0.018562890051476,0.999483955276918
RNF165,8.59694051077107,-1.47226117626112,0.591983067476184,-2.48699879633019,0.0128825834896034,NA
RNF170,29.8716369022022,-0.644627859919015,0.235761773351874,-2.73423401408213,0.00625255894326694,0.999483955276918
RNF19B,7.33173907336601,-1.05296729503203,0.425191748283019,-2.47645279872917,0.0132695169648723,NA
RNFT2,5.01838640404854,-1.91019149963716,0.639727613583196,-2.98594504767105,0.00282703439730201,NA
RNU4-2,7.54488113002538,1.9071878989001,0.652268401098115,2.92393115424462,0.00345641183234144,NA
RXFP4,3.01104807889268,-1.64761320628288,0.706331704367676,-2.33263379810745,0.0196673734813735,NA
SEC24B-AS1,3.62259512340426,-1.58267625300538,0.58579438000153,-2.70176073215527,0.00689733776510558,NA
SET,126.892123884334,0.546281092440544,0.185376652436337,2.94687106095063,0.00321007024587418,0.79471197219052
SF3A2,18.2477366973311,0.842553553681623,0.294753633351098,2.8585009931939,0.00425647776273207,0.855087687280484
SHISA2,4.87600085390268,-2.04678937973622,0.804265233790802,-2.54491838480812,0.0109303282196794,NA
SHKBP1,36.2674935447324,0.716522171069666,0.254685835632921,2.81335697090902,0.00490271914339123,0.928489160563063
SKA1,8.03194341118844,-1.72445358003103,0.734089517367132,-2.34910530559803,0.0188185837358687,NA
SLAIN2,52.9499486024266,0.438690927384329,0.184383428577323,2.37923185814044,0.0173487598743284,0.999483955276918
SLC1A6,5.77752451043743,-1.76733529144112,0.739569684810191,-2.38968055037937,0.0168630330520174,NA
SLC4A9,2.54256847957619,-2.3958817558081,1.00667631569978,-2.37999217667361,0.0173130056097461,NA
SLC9A7P1,5.93842180975794,-1.79558741416086,0.713956522371852,-2.51498145600757,0.011903864485635,NA
SMAD2,181.049683369373,-0.559987518352019,0.187464699811397,-2.98716248400583,0.00281580022759962,0.762389376235513
SOCS7,22.3829816025947,-0.918889508977529,0.378778050164651,-2.42593125071027,0.0152691624879458,0.999483955276918
SOGA1,13.5737647927948,-1.53026506787374,0.653767100968395,-2.34068839745382,0.0192482243766444,0.999483955276918
SOGA3,17.3266055146991,-1.26509903845904,0.324520957235333,-3.89835851969839,9.68469578370116e-05,0.0972783670128311
SOWAHA,2.97046013644979,-2.79403610537988,1.12087580410443,-2.49272586235573,0.0126766677231104,NA
SPDL1,21.0212064317271,-1.13307394062402,0.415357869001189,-2.72794624873418,0.00637299917771767,0.999483955276918
