gene_id	gene_name	SRR10662892	SRR10662893	SRR10662894	SRR10662895	SRR10662896	SRR10662897	SRR10662898	SRR10662899	SRR10662900	SRR10662901	SRR10662902	SRR10662903	SRR10662904	SRR10662905	SRR10662906	SRR10662907	SRR10662908	SRR10662909
CPO	CPO	0	1	7	7	6	0	4	0	0	2	4	6	4	1	0	0	3	2
CPOX	CPOX	8	4	25	9	18	41	12	1	1	9	6	7	10	4	1	19	4	4
CPPED1	CPPED1	24	15	23	26	31	13	27	1	0	6	9	21	28	11	1	0	7	12
CPQ	CPQ	25	7	20	23	39	36	29	14	0	7	8	5	7	9	2	44	6	33
CPS1	CPS1	32	19	35	36	37	1	28	3	1	19	10	11	33	14	10	0	9	14
CPS1-IT1	CPS1-IT1	16	1	6	16	24	1	25	0	0	2	2	6	5	4	0	9	1	0
CPSF1	CPSF1	65	10	95	20	108	125	74	10	1	6	23	35	37	24	48	95	13	46
CPSF2	CPSF2	157	69	163	154	143.99	176	148	12	5	44	35	100.966	95	55	68	106	34	42
CPSF3	CPSF3	22	14	29.999	22	23	44	40	10	2	7	8	19	12	18	22	33	7	1
CPSF4	CPSF4	11	14	22	7	13	35	22	7	1	8	3	7	0	0	3	25	2	6
CPSF4L	CPSF4L	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CPSF6	CPSF6	121	92	182	92	146	280	179	58	18	30	64	80	92	52	26	147	33	41
CPSF7	CPSF7	55	38	58	42	88	140	103	28	4	20	16	30	30	15	38	130	8	33
CPT1A	CPT1A	9	10	13	20.268	6	32	13	2	0	7	20	17	11	3	1	14	1	26
CPT1B	CPT1B	13.45	0	9.031	7	15.178	40	0	3	0	0	0	2.51	10	7	0	34	0	0
CPT1C	CPT1C	1	1	3	2	0	2	3	0	0	1	0	2	2	0	0	0	0	0
CPT2	CPT2	23	6	24.954	19	22	43	21	0	8	2	6	12	20	3	4	52	2	9
CPTP	CPTP	8	12	39	19	22	52	18	0	0	4	2	7	12	1	9	23	5	11
CPVL	CPVL	8	8	5	27	9	2	11	0	0	10	4	10	15	0	0	1	3	7
CPXCR1	CPXCR1	3	6	6	4	13	0	3	0	0	4	0	1	3	6	0	0	4	2
CPXM1	CPXM1	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	2
CPXM2	CPXM2	9	9	2	12	3	0	2	0	0	2	4	5	7	4	3	0	2	0
CPZ	CPZ	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0
CR1	CR1	29.837	25	15.693	33.119	29.621	9	16.772	0	1	18	21.952	9.921	31.457	15	1	58	13	10
CR1L	CR1L	2.163	0	4.307	10.881	3.379	0	1.228	1	0	0	1.048	4.079	2.543	0	0	0	7	2
CR2	CR2	11	8	13	12	25	1	11	1	1	1	6	4	21	1	0	0	8	4
CRABP1	CRABP1	2	0	3	0	1	0	2	0	0	0	2	0	0	2	0	0	0	0
CRABP2	CRABP2	0	0	1	1	3	0	3	0	0	0	0	1	0	0	0	0	1	0
CRACD	CRACD	17	6	13	12	16	3	14	2	0	7	14	17	11	7	0	1	15	4
CRACR2A	CRACR2A	30	15	42	28	38	61	49	5	0	16	15	22	30	4	4	41	7	21
CRACR2B	CRACR2B	2	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0
CRADD	CRADD	13	11	17.001	11	11	12	6	0	0	3	4	7	13	6	8	3	6	2
CRAMP1	CRAMP1	20	15	21	34	13	67	32	1	0	9	13	21	10	21	2	35	10	40
CRAT	CRAT	14	5	10	2	14	13	14	0	1	2	0	10	2	2	0	28	1	4
CRAT37	CRAT37	7	7	15	5	13	0	14	0	0	2	3	4	16	1	1	5	5	9
CRB1	CRB1	19	12	22	25	45	1	26	2	1	11	14	14	29	11	5	0	11	22
CRB2	CRB2	1	1	1	0	1	3	2	0	0	2	6	5	4	3.577	1	3.515	1	1
CRB3	CRB3	3	2	6	2	0	2	6	2	0	3	0	3	1	0	0	0	1	0
CRBN	CRBN	85.756	44.68	225.12	105.709	137.443	292.389	188.394	20.581	3	30.128	44.248	70.177	51.627	38.741	58.035	266.989	28.164	48.263
CRCP	CRCP	24	20	65	37	27	70	61	8	4	13	9	28	21	5	17	97	3	10
CRCT1	CRCT1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB1	CREB1	99	61	155	113	142	274	182	35	5	31	41	56	79	81	77	153	16	34
CREB3	CREB3	11	5	15	8	13	29	31	0	0	5	5	8	11	6	16	36	4	4
CREB3L1	CREB3L1	0	1	0	1	1	0	1	0	0	0	0	1	3	1	0	2	1	0
CREB3L2	CREB3L2	30	24	68	46	67	119	102	10	1	15	34	35	46	31	8	96	19	7
CREB3L2-AS1	CREB3L2-AS1	1	1	0	2	2	0	0	0	0	0	0	0	2	1	0	0	1	0
CREB3L3	CREB3L3	2	2	1	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0
CREB3L4	CREB3L4	2	2	2	6	4	8	10	0	1	3	2	0	1	3	1	9	0	4
CREB5	CREB5	35	23	40	37	90	9	55	26	1	11	18	25	41	5	2	1	32	55
CREBBP	CREBBP	79	57	120	88	119	279	130	29	23	36	42	40	67	35	37	232	11	34
CREBL2	CREBL2	63	33	143	89	65	156	110	0	9	24	27	65	50	15	66	184	8	51
CREBRF	CREBRF	120	80	174	116	180	298	183	10	2	34	50	79	102	45	48	314	28	47
CREBZF	CREBZF	86	70	128	76	111	283	177	33	5	24	37	50	57	35	27	163	20	45
CREG1	CREG1	31	11	26	30	33	39	29	5	0	10	4	6	16	8	3	25	3	16
CREG2	CREG2	15	3	12	22	9	1	14	11	0	4	6	4	14	16	0	0	10	11
CRELD1	CRELD1	14	4	22	11	28	44	28	1	0	1	6	8	11	12	9	85	5	4
CRELD2	CRELD2	7	7	25	17	13	44	24	0	0	6	1	7	9	4	0	62	0	5
CREM	CREM	22	14.999	35.999	27.001	32	53.001	53.001	6	3	7.999	12	21	24.001	19	13	40	14	25
CRH	CRH	0	0	0	0	3	0	0	0	1	5	1	0	2	0	0	0	4	0
CRHBP	CRHBP	5	1	5	8	9	1	4	5	0	6	5	4	8	8	0	0	4	0
CRHR1	CRHR1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CRHR2	CRHR2	3	7	0	3	5	1	0	1	0	2	6	5	5	3	0	6	2	2
CRIM1	CRIM1	28	14	19	28	32	22	37	2	0	8	5	16	21	18	5	22	8	24
CRIM1-DT	CRIM1-DT	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIP1	CRIP1	44	18	114	38	33	272	148	15	7	9	14	24	24	23	29	194	6	31
CRIP2	CRIP2	22	4	41	8	12	82	18	3	9	8	0	29	9	0	0	31	15	25
CRIP3	CRIP3	0	0	1	1	0	1	0	0	0	1	2	1	1	0	0	0	0	0
CRIPT	CRIPT	129	68	190	152	147	299	189	24	1	42	57	91	74	52	51	146	33	77
CRISP1	CRISP1	1	1	5	5	7	2	1	0	0	4	2	7	7	7	0	0	10	0
CRISP2	CRISP2	1	3	1	1	6	0	4	0	0	1	1	3	1	1	0	0	1	2
CRISP3	CRISP3	3	16	3	16	6	0	5	0	0	5	10	4	2	6	0	0	6	0
CRISPLD1	CRISPLD1	14	11	10	27	24	2	12	0	0	3	21	16	22	5	2	8	13	18
CRISPLD2	CRISPLD2	6	14	6	9	4	5	3	1	0	2	4	4	11	14	0	1	1	0
CRK	CRK	47	28	45	39	59	82	46	5	2	13	28	36	42	12	8	69	10	17
CRKL	CRKL	115	67	225	143	200	342	219	31	19	33	49	84	90	60	30	305	19	57
CRLF1	CRLF1	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	1	0	0
CRLF2	CRLF2	3	5	1	2	0	1	1	2	0	2	2	6	1	0	1	0	0	0
CRLF3	CRLF3	96.137	61.644	231.516	137.625	159.288	353.455	263.655	38	0	26	43.33	80.691	72.683	36	29.546	240.777	49.606	48
